LOCATION,MUNICIPALITY,POINT_OF_REFERENCE,NORTHINGS,EASTINGS
CARDONA CAD 606-D,"CARDONA, RIZAL",BLMM#10,"1,584,405.37","525,481.32"
JALAJALA MUN.,"JALAJALA, RIZAL",BLLM 1,"1,587,452.31","534,683.85"
JALAJALA MUN.,"JALAJALA, RIZAL",BLLM 2,"1,587,489.10","534,511.25"
JALAJALA MUN.,"JALAJALA, RIZAL",1 Bagombong,"1,586,082.89","540,686.60"
JALAJALA MUN.,"JALAJALA, RIZAL",2 Bagombong,"1,586,049.04","540,552.00"
JALAJALA MUN.,"JALAJALA, RIZAL",1 Punta,"1,580,513.93","533,067.29"
JALAJALA MUN.,"JALAJALA, RIZAL",2 Punta,"1,580,636.63","533,002.94"
JALAJALA MUN.,"JALAJALA, RIZAL",Jalajala Pt.,"1,580,376.72","533,162.74"
JALAJALA MUN.,"JALAJALA, RIZAL","Jalajala Sta,","1,587,506.34","534,452.97"
JALAJALA MUN.,"JALAJALA, RIZAL",Punta Malaki Pulo Id.,"1,579,859.87","533,187.94"
JALAJALA MUN.,"JALAJALA, RIZAL",Punta Munte Pulo Id.,"1,579,917.99","533,485.15"
JALAJALA MUN.,"JALAJALA, RIZAL",Punta Munte Pulo Id (Permanent Sta.),"1,579,896.38","533,498.69"
LAS PINAS MUN.,"LAS PINAS, RIZAL",BLLM 1,"1,601,559.89","497,890.70"
LAS PINAS MUN.,"LAS PINAS, RIZAL",BLLM 2,"1,601,823.11","498,120.59"
LAS PINAS MUN.,"LAS PINAS, RIZAL",1 Pamplona,"1,599,187.33","496,614.83"
LAS PINAS MUN.,"LAS PINAS, RIZAL",2 Pamplona,"1,598,859.23","496,428.02"
LAS PINAS MUN.,"LAS PINAS, RIZAL",1 Zapote,"1,599,593.01","496,038.65"
LAS PINAS MUN.,"LAS PINAS, RIZAL",2 Zapote,"1,599,478.26","495,937.37"
LAS PINAS MUN.,"LAS PINAS, RIZAL",Km.13 Las Pinas-Cavite,"1,601,218.29","497,540.22"
LAS PINAS MUN.,"LAS PINAS, RIZAL",Km.14 Las Pinas-Cavite,"1,600,512.01","497,089.89"
LAS PINAS MUN.,"LAS PINAS, RIZAL",Km.15 Las Pinas-Cavite,"1,599,838.07","496,395.95"
LAS PINAS MUN.,"LAS PINAS, RIZAL",Km.16 Las Pinas-Cavite,"1,599,831.85","496,428.54"
LAS PINAS MUN.,"LAS PINAS, RIZAL",Km.17 Las Pinas-Cavite,"1,598,878.62","496,727.00"
LAS PINAS MUN.,"LAS PINAS, RIZAL",Km.18 Las Pinas-Cavite,"1,598,265.35","497,539.57"
LAS PINAS MUN.,"LAS PINAS, RIZAL",Km.19 Las Pinas-Cavite,"1,597,821.52","498,431.94"
LAS PINAS MUN.,"LAS PINAS, RIZAL",BM Rizal-Cavite,"1,597,426.89","499,338.47"
LAS PINAS MUN.,"LAS PINAS, RIZAL",Mon.182,"1,599,521.04","495,987.55"
LAS PINAS MUN.,"LAS PINAS, RIZAL",Las Pinas Ch.Spire,"1,595,664.20","497,177.75"
LAS PINAS MUN.,"LAS PINAS, RIZAL",Mon.21 Muntinglupa,"1,601,556.14","497,868.63"
LAS PINAS MUN.,"LAS PINAS, RIZAL",BLLM 4,"1,601,651.89","497,980.96"
LAS PINAS MUN.,"LAS PINAS, RIZAL",BLLM 5,"1,601,530.12","497,853.47"
LAS PINAS MUN.,"LAS PINAS, RIZAL",BLLM 3New,"1,601,819.08","498,120.03"
MAKATI MUN.,MAKATI(SAN PEDRO) CITY,BLLM 1,"1,611,131.26","503,381.83"
MAKATI MUN.,MAKATI(SAN PEDRO) CITY,BLLM 2,"1,610,981.15","503,264.77"
MAKATI MUN.,MAKATI(SAN PEDRO) CITY,Makati Ch.Cross,"1,610,967.86","503,233.93"
MALABON MUN.,"MALABON, RIZAL",BLLM 1,"1,621,155.60","494,635.21"
MALABON MUN.,"MALABON, RIZAL",BLLM 2,"1,621,245.52","494,585.43"
MALABON MUN.,"MALABON, RIZAL",1 Dampalit,"1,623,955.45","493,652.58"
MALABON MUN.,"MALABON, RIZAL",2 Dampalit,"1,623,878.08","493,763.70"
MALABON MUN.,"MALABON, RIZAL",Tonsuya Ermita Dome,"1,621,572.60","495,156.98"
MALABON MUN.,"MALABON, RIZAL",Malabon Ch.Dome,"1,621,712.13","495,229.15"
MALABON MUN.,"MALABON, RIZAL",PLS Mon.Tinajeros,"1,621,237.18","494,633.93"
MALABON MUN.,"MALABON, RIZAL",3 Dampalit,"1,623,980.79","493,655.03"
MALABON MUN.,"MALABON, RIZAL",4 Dampalit,"1,624,216.50","493,782.58"
MALABON MUN.,"MALABON, RIZAL",NE Tower Malabon Ch.,"1,621,200.07","494,647.57"
MALABON MCADM-581,"MALABON, RIZAL",BLLM#1,"1,621,157.99","494,638.17"
MALABON MCADM-581,"MALABON, RIZAL",BLLM#2,"1,621,245.53","494,585.44"
MARIQUINA MUN.,"MARIKINA, RIZAL",BLLM 1,"1,618,143.91","510,178.81"
MARIQUINA MUN.,"MARIKINA, RIZAL",BLLM 2,"1,618,636.83","510,074.64"
MARIQUINA MUN.,"MARIKINA, RIZAL",1 Bayanbayanan,"1,620,173.63","510,438.23"
MARIQUINA MUN.,"MARIKINA, RIZAL",2 Bayanbayanan,"1,620,155.88","510,417.89"
MARIQUINA MUN.,"MARIKINA, RIZAL",1 Calumpang,"1,617,357.33","509,757.58"
MARIQUINA MUN.,"MARIKINA, RIZAL",2 Calumpang,"1,617,362.21","509,741.72"
MONTALBAN MUN.,"MONTALBAN, RIZAL",BLLM 1,"1,629,333.40","515,481.21"
MONTALBAN MUN.,"MONTALBAN, RIZAL",BLLM 2,"1,628,847.94","515,325.48"
MONTALBAN MUN.,"MONTALBAN, RIZAL",1 San Isidro,"1,633,031.83","515,909.24"
MONTALBAN MUN.,"MONTALBAN, RIZAL",2 San Isidro,"1,632,948.34","515,864.47"
MONTALBAN MUN.,"MONTALBAN, RIZAL",20-M.W.R.,"1,628,591.51","520,380.95"
MONTALBAN CAD-674,"MONTALBAN, RIZAL",BLLM#1,"1,628,994.94","515,276.18"
MONTALBAN CAD-674,"MONTALBAN, RIZAL",BLLM#2,"1,629,132.36","514,667.71"
MONTALBAN CAD-674,"MONTALBAN, RIZAL",BLLM#3,"1,633,818.39","514,048.13"
MONTALBAN CAD-674,"MONTALBAN, RIZAL",BLLM#4,"1,634,261.50","514,399.78"
,,,,
,,,f,g
